titulo;descripcion;categoria;latitud;longitud;fecha_hecho
41115-Accidente de tránsito con víctima fatal;En Fray Mamerto Esquiú, Catamarca, ocurrió un hecho vial de tipo 'Colisión vehículo-objeto' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-28.2805257;-65.7320143;1/1/2023 09:30:00
41204-Accidente de tránsito con víctima fatal;En Islas del Ibicuy, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 15-19 años de edad, que se movilizaba en un/una Bicicleta.;Accidente de tránsito;-33.498147905229;-58.824117457695;18/1/2023 02:15:00
41205-Accidente de tránsito con víctima fatal;En Paraná, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 55-59 años de edad.;Accidente de tránsito;-31.765316896311;-60.437117719528;6/1/2023 04:45:00
41206-Accidente de tránsito con víctima fatal;En La Paz, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 50-54 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.34878438189;-59.359692006495;9/1/2023 22:20:00
41207-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 75-79 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.7956419;-57.9123798;12/1/2023 11:07:00
41208-Accidente de tránsito con víctima fatal;En Paraná, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-31.573276193184;-59.912662252546;26/1/2023 15:50:00
41211-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 10-14 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.82218164879;-58.045209051488;8/1/2023 11:45:00
41212-Accidente de tránsito con víctima fatal;En Tala, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-32.072476359672;-59.260245687246;19/1/2023 16:30:00
41214-Accidente de tránsito con víctima fatal;En Concordia, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 30-34 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.37438911543;-58.016355614185;31/1/2023 21:30:00
41215-Accidente de tránsito con víctima fatal;En La Paz, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 55-59 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-31.033965991543;-59.662172676615;17/1/2023 17:10:00
41218-Accidente de tránsito con víctima fatal;En Paraná, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 80-84 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-31.578368219351;-59.881981098969;25/1/2023 12:00:00
41219-Accidente de tránsito con víctima fatal;En Diamante, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-32.056342646879;-60.391382777371;14/1/2023 07:25:00
41220-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un/una Bicicleta.;Accidente de tránsito;-30.760262282919;-57.997732869348;25/1/2023 05:36:00
41223-Accidente de tránsito con víctima fatal;En Villaguay, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 55-59 años de edad.;Accidente de tránsito;-31.810262283397;-58.958288833161;30/1/2023 22:25:00
41281-Accidente de tránsito con víctima fatal;En Corpen Aike, Santa Cruz, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 35-39 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-49.99229472102;-68.930954135868;17/2/2023 09:17:00
41284-Accidente de tránsito con víctima fatal;En Pilcomayo, Formosa, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-25.283166912982;-57.717724832575;5/2/2023 04:30:00
41285-Accidente de tránsito con víctima fatal;En Formosa, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 35-39 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-25.909402008676;-58.103318601017;12/2/2023 00:10:00
41286-Accidente de tránsito con víctima fatal;En Pilcomayo, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 45-49 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-25.296112301432;-57.723890392912;22/2/2023 17:00:00
41287-Accidente de tránsito con víctima fatal;En Laishi, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 30-34 años de edad.;Accidente de tránsito;-26.658602353619;-58.633046434151;23/2/2023 02:30:00
41288-Accidente de tránsito con víctima fatal;En Matacos, Formosa, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 60-64 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-23.898964779993;-61.863901324904;28/2/2023 14:07:00
41289-Accidente de tránsito con víctima fatal;En Capital, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer.;Accidente de tránsito;-27.403912217079;-55.906494798095;24/2/2023 20:00:00
42392-Accidente de tránsito con víctima fatal;En Federal, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 30-34 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.9098021516;-58.747679587699;13/2/2023 07:00:00
42393-Accidente de tránsito con víctima fatal;En Gualeguaychú, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 15-19 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-33.024218102463;-58.53574988364;16/2/2023 15:00:00
42395-Accidente de tránsito con víctima fatal;En Uruguay, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-32.498235921145;-58.227512058527;5/2/2023 17:00:00
42396-Accidente de tránsito con víctima fatal;En Gualeguay, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Calle'.La víctima fue una mujer de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-33.1503372;-59.3106527;2/2/2023 17:30:00
42397-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 55-59 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.760992514324;-58.021099519926;26/2/2023 06:15:00
42398-Accidente de tránsito con víctima fatal;En Diamante, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 50-54 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.90466117543;-60.582632005502;3/2/2023 20:15:00
