titulo;descripcion;categoria;latitud;longitud;fecha_hecho
"Centro clandestino de detención 16-UNIDAD PENAL 1 ""CASEROS""";"Centro Clandestino de Detención (CCD) 'UNIDAD PENAL 1 ""CASEROS""', que funcionó en un predio de 'SERVICIO PENITENCIARIO FEDERAL'. Ubicación: Av. CASEROS entre PICHINCHA y PASCO · Parque Patricios · CAPITAL FEDERAL. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6351226;-58.3948151;24/03/1976 00:00:00
Centro clandestino de detención 18-BATALLÓN DE INFANTERÍA DE MARINA 3 UNIDAD DE COMANDO ÁREA FT5;Centro Clandestino de Detención (CCD) 'BATALLÓN DE INFANTERÍA DE MARINA 3 UNIDAD DE COMANDO ÁREA FT5', que funcionó en un predio de 'ARMADA'. Ubicación: Calles 122 y 51 · DIQUE Nº 1 (EL DIQUE) · ENSENADA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.8984843;-57.9290615;24/03/1976 00:00:00
"Centro clandestino de detención 22-UNIDAD PENAL 2 ""DEVOTO""";"Centro Clandestino de Detención (CCD) 'UNIDAD PENAL 2 ""DEVOTO""', que funcionó en un predio de 'SERVICIO PENITENCIARIO FEDERAL'. Ubicación: BERMÚDEZ 2651 · Villa Devoto · CAPITAL FEDERAL. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6151101;-58.5149404;24/03/1976 00:00:00
"Centro clandestino de detención 23-BASE NAVAL ""MAR DEL PLATA"" (AGRUPACIÓN DE BUZOS TÁCTICOS) UNIDAD DE COMANDO ÁREA FT6";"Centro Clandestino de Detención (CCD) 'BASE NAVAL ""MAR DEL PLATA"" (AGRUPACIÓN DE BUZOS TÁCTICOS) UNIDAD DE COMANDO ÁREA FT6', que funcionó en un predio de 'ARMADA'. Ubicación: Av. MARTÍNEZ DE HOZ y Av. 12 DE OCTUBRE (Antepuerto) · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-38.0071026;-57.5939337;24/03/1976 00:00:00
Centro clandestino de detención 24-LA CUEVA (BASE AÉREA MILITAR) UNIDAD DE COMANDO ÁREA FAA;Centro Clandestino de Detención (CCD) 'LA CUEVA (BASE AÉREA MILITAR) UNIDAD DE COMANDO ÁREA FAA', que funcionó en un predio de 'FUERZA AÉREA'. Ubicación: Ruta Nac. Nº 2 Km 400 · MAR DEL PLATA · GRAL. PUEYRREDÓN · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-37.964494;-57.5780977;24/03/1976 00:00:00
"Centro clandestino de detención 26-BASE DE INFANTERÍA DE MARINA ""BATERÍAS"" (BATERÍA VII)";"Centro Clandestino de Detención (CCD) 'BASE DE INFANTERÍA DE MARINA ""BATERÍAS"" (BATERÍA VII)', que funcionó en un predio de 'ARMADA'. Ubicación: BNIM BATERÍAS · CNEL. DE MARINA L. ROSALES · BUENOS AIRES. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6447029;-58.5253155;24/03/1976 00:00:00
"Centro clandestino de detención 29-BASE AERONAVAL ""ALMIRANTE ZAR""";"Centro Clandestino de Detención (CCD) 'BASE AERONAVAL ""ALMIRANTE ZAR""', que funcionó en un predio de 'ARMADA'. Ubicación: Ruta Nac. Nº 3 s/nº _ acceso por · TRELEW · RAWSON · CHUBUT. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6624842;-58.518575;24/03/1976 00:00:00
"Centro clandestino de detención 30-BRIGADA AÉREA VI ""TANDIL""";"Centro Clandestino de Detención (CCD) 'BRIGADA AÉREA VI ""TANDIL""', que funcionó en un predio de 'FUERZA AÉREA'. Ubicación: TANDIL · BUENOS AIRES. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-37.3287999;-59.1367167;24/03/1976 00:00:00
Centro clandestino de detención 31-REGIMIENTO DE INFANTERÍA 3 UNIDAD DE COMANDO ÁREA 112;Centro Clandestino de Detención (CCD) 'REGIMIENTO DE INFANTERÍA 3 UNIDAD DE COMANDO ÁREA 112', que funcionó en un predio de 'EJÉRCITO'. Ubicación: Camino de Cintura y Av. INT. CROVARA · LA TABLADA · LA MATANZA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6997068;-58.5414235;24/03/1976 00:00:00
"Centro clandestino de detención 32-HOGAR ESCUELA ""PABLO PIZZURNO""";"Centro Clandestino de Detención (CCD) 'HOGAR ESCUELA ""PABLO PIZZURNO""', que funcionó en un predio de 'ESTABLECIMIENTO EDUCATIVO'. Ubicación: Av. VÉLEZ SARSFIELD 2900 · CÓRDOBA · CAPITAL · CÓRDOBA. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-31.4452196;-64.1983888;24/03/1976 00:00:00
Centro clandestino de detención 33-BRIGADA DE SAN JUSTO;Centro Clandestino de Detención (CCD) 'BRIGADA DE SAN JUSTO', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: SALTA 2450 (lindante a Comisaría 1ª) · SAN JUSTO · LA MATANZA · BUENOS AIRES BRIGADA DE INVESTIGACIONES DE SAN JUSTO. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6764018;-58.5625936;24/03/1976 00:00:00
"Centro clandestino de detención 34-GRANJA ""LA AMALIA""";"Centro Clandestino de Detención (CCD) 'GRANJA ""LA AMALIA""', que funcionó en un predio de 'EJÉRCITO'. Ubicación: EUROPA s/nº (y Av. ARTURO ILLIA) · SAN LUIS · LA CAPITAL · SAN LUIS. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-33.2995092;-66.3472541;24/03/1976 00:00:00
Centro clandestino de detención 35-BRIGADA DE INVESTIGACIONES DE CASEROS;Centro Clandestino de Detención (CCD) 'BRIGADA DE INVESTIGACIONES DE CASEROS', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: DR. AMADEO SABATTINI 4447 · CASEROS · TRES DE FEBRERO · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6023892;-58.5578293;24/03/1976 00:00:00
Centro clandestino de detención 38-BRIGADA DE INVESTIGACIONES DE MARTÍNEZ;Centro Clandestino de Detención (CCD) 'BRIGADA DE INVESTIGACIONES DE MARTÍNEZ', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: JUNCAL 46 · MARTÍNEZ · SAN ISIDRO · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.4872154;-58.5029355;24/03/1976 00:00:00
Centro clandestino de detención 39-BRIGADA DE INVESTIGACIONES DE LAS FLORES;Centro Clandestino de Detención (CCD) 'BRIGADA DE INVESTIGACIONES DE LAS FLORES', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: AVELLANEDA 705 · LAS FLORES · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6148162;-58.4409902;24/03/1976 00:00:00
Centro clandestino de detención 40-DIRECCIÓN DE INVESTIGACIONES DE LA POLICÍA DEL CHACO (1976-1978);Centro Clandestino de Detención (CCD) 'DIRECCIÓN DE INVESTIGACIONES DE LA POLICÍA DEL CHACO (1976-1978)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: MARCELO T. DE ALVEAR 32 · RESISTENCIA · SAN FERNANDO · CHACO. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-27.4498748;-58.9857195;24/03/1976 00:00:00
"Centro clandestino de detención 41-BRIGADA AÉREA VII ""MORÓN"" UNIDAD DE COMANDO SUBZONA 16 Y ÁREA 160";"Centro Clandestino de Detención (CCD) 'BRIGADA AÉREA VII ""MORÓN"" UNIDAD DE COMANDO SUBZONA 16 Y ÁREA 160', que funcionó en un predio de 'FUERZA AÉREA'. Ubicación: Av. PIERRASTEGUI entre A. PACHE y CNEL. ARENA · CASTELAR · MORÓN · BUENOS AIRES. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6864662;-58.6365089;24/03/1976 00:00:00
Centro clandestino de detención 42-POZO DE BANFIELD;Centro Clandestino de Detención (CCD) 'POZO DE BANFIELD', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: SICILIANO y VERNET · BANFIELD · LOMAS DE ZAMORA · BUENOS AIRES BRIGADA DE HOMICIDIOS (EX DIRECCIONES DE SEGURIDAD, INVESTIGACIONES E INTELIGENCIA). Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.7446112;-58.3917316;24/03/1976 00:00:00
Centro clandestino de detención 43-BRIGADA DE INVESTIGACIONES DE SAN NICOLÁS;Centro Clandestino de Detención (CCD) 'BRIGADA DE INVESTIGACIONES DE SAN NICOLÁS', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: LEANDRO N. ALEM 114 · SAN NICOLÁS DE LOS ARROYOS · SAN NICOLÁS · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-33.3302344;-60.2120019;24/03/1976 00:00:00
Centro clandestino de detención 44-POZO DE QUILMES;Centro Clandestino de Detención (CCD) 'POZO DE QUILMES', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: ALLISON BELL s/nº (esq. GARIBALDI) · QUILMES · BUENOS AIRES BRIGADA DE INVESTIGACIONES DE QUILMES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.7206336;-58.2546051;24/03/1976 00:00:00
Centro clandestino de detención 45-BRIGADA DE DOLORES;Centro Clandestino de Detención (CCD) 'BRIGADA DE DOLORES', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: DOLORES · BUENOS AIRES DESTACAMENTO CUATRERISMO DE LA POLICÍA DE LA PCIA. DE BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-36.3152317;-57.6753107;24/03/1976 00:00:00
"Centro clandestino de detención 46-BARCO ""TREINTA Y TRES ORIENTALES""";"Centro Clandestino de Detención (CCD) 'BARCO ""TREINTA Y TRES ORIENTALES""', que funcionó en un predio de 'ARMADA'. Ubicación: Puerto Nuevo · CAPITAL FEDERAL. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6177194;-58.3620561;24/03/1976 00:00:00
"Centro clandestino de detención 47-BARCO ""BAHÍA AGUIRRE""";"Centro Clandestino de Detención (CCD) 'BARCO ""BAHÍA AGUIRRE""', que funcionó en un predio de 'ARMADA'. Ubicación: Puerto Nuevo · CAPITAL FEDERAL. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.6177194;-58.3620561;24/03/1976 00:00:00
Centro clandestino de detención 49-COMISARÍA 3ª DE AVELLANEDA (DOCK SUD);Centro Clandestino de Detención (CCD) 'COMISARÍA 3ª DE AVELLANEDA (DOCK SUD)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: Av. DEBENEDETTI 1700 · DOCK SUD · AVELLANEDA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6542139;-58.3436437;24/03/1976 00:00:00
Centro clandestino de detención 50-CLUB ATLÉTICO;Centro Clandestino de Detención (CCD) 'CLUB ATLÉTICO', que funcionó en un predio de 'POLICÍA FEDERAL'. Ubicación: Av. PASEO COLÓN entre Av. SAN JUAN y COCHABAMBA · San Telmo · CAPITAL FEDERAL. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6216824;-58.3684382;24/03/1976 00:00:00
Centro clandestino de detención 54-BASE MILITAR EN CASPINCHANGO;Centro Clandestino de Detención (CCD) 'BASE MILITAR EN CASPINCHANGO', que funcionó en un predio de 'ESTABLECIMIENTO PRIVADO'. Ubicación: CASPINCHANGO · MONTEROS · TUCUMÁN. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-27.0722187;-65.4976944;24/03/1976 00:00:00
Centro clandestino de detención 57-UNIDAD PENAL 5 DE MERCEDES;Centro Clandestino de Detención (CCD) 'UNIDAD PENAL 5 DE MERCEDES', que funcionó en un predio de 'SERVICIO PENITENCIARIO PROVINCIAL'. Ubicación: Calle 27 Nº 1174 (entre 48 y 50) · MERCEDES · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6036844;-58.3815591;24/03/1976 00:00:00
